,titles,year,runtime,imbd,meta,vote,gross_amt
0,Tenet,2020,150,7.8,69        ,131477,45.1
1,One Flew Over the Cuckoo's Nest,1975,133,8.7,83        ,899744,112.0
2,The Gentlemen,2019,113,7.9,51        ,192569,
3,Knives Out,2019,130,7.9,82        ,400227,165.36
4,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64        ,633180,317.58
5,Joker,2019,122,8.5,59        ,879530,335.45
6,Halloween,1978,91,7.8,87        ,224687,47.0
7,Once Upon a Time... In Hollywood,2019,161,7.6,83        ,519483,142.5
8,Avengers: Endgame,2019,181,8.4,78        ,770480,858.37
9,Parasite,2019,132,8.6,96        ,490989,53.37
10,The Shining,1980,146,8.4,66        ,876197,44.02
11,Jojo Rabbit,2019,108,7.9,58        ,266009,0.35
12,The Shawshank Redemption,1994,142,9.3,80        ,2293163,28.34
13,Interstellar,2014,169,8.6,74        ,1466105,188.02
14,The Silence of the Lambs,1991,118,8.6,85        ,1242990,130.74
15,The Nightmare Before Christmas,1993,76,8.0,82        ,287320,75.08
16,The Dark Knight,2008,152,9.0,84        ,2258200,534.86
17,Hamilton,2020,160,8.7,90        ,43438,
18,The Wolf of Wall Street,2013,180,8.2,75        ,1151018,116.9
19,The Godfather,1972,175,9.2,100        ,1582906,134.97
20,Blade Runner 2049,2017,164,8.0,81        ,446508,92.05
21,Fargo,1996,98,8.1,85        ,604611,24.61
22,Inception,2010,148,8.8,74        ,2020281,292.58
23,Back to the Future,1985,116,8.5,87        ,1034864,210.61
24,Ford v Ferrari,2019,152,8.1,81        ,264590,117.62
25,1917,2019,119,8.3,78        ,375971,159.23
26,The Exorcist,1973,122,8.0,81        ,356125,232.91
27,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92        ,1628539,315.54
28,Pulp Fiction,1994,154,8.9,94        ,1790860,107.93
29,Spider-Man: Into the Spider-Verse,2018,117,8.4,87        ,343218,190.24
30,Titanic,1997,194,7.8,75        ,1027947,659.33
31,Se7en,1995,127,8.6,65        ,1412239,100.13
32,Thor: Ragnarok,2017,130,7.9,74        ,570128,315.06
33,Mad Max: Fury Road,2015,120,8.1,90        ,862377,154.06
34,The Peanut Butter Falcon,2019,97,7.6,70        ,56855,13.12
35,The Goonies,1985,114,7.8,62        ,239658,61.5
36,Zodiac,2007,157,7.7,78        ,450272,33.08
37,The Matrix,1999,136,8.7,73        ,1642134,171.48
38,Ghostbusters,1984,105,7.8,71        ,348996,238.63
39,Little Women,2019,135,7.8,91        ,127135,108.1
40,Goodfellas,1990,146,8.7,90        ,998377,46.84
41,The Dark Knight Rises,2012,164,8.4,78        ,1489796,448.14
42,Alien,1979,117,8.4,89        ,773599,78.9
43,Harry Potter and the Goblet of Fire,2005,157,7.7,81        ,534401,290.01
44,Gladiator,2000,155,8.5,67        ,1315775,187.71
45,Gone Girl,2014,149,8.1,79        ,839410,167.77
46,Watchmen,2009,162,7.6,56        ,494058,107.51
47,Get Out,2017,104,7.7,85        ,477076,176.04
48,Fight Club,1999,139,8.8,66        ,1818315,37.03
49,Pride & Prejudice,2005,129,7.8,82        ,251029,38.41
50,Jurassic Park,1993,127,8.1,68        ,851335,402.45
51,The Thing,1982,109,8.1,57        ,362869,13.78
52,Inglourious Basterds,2009,153,8.3,69        ,1238057,120.54
53,Hacksaw Ridge,2016,139,8.1,71        ,422401,67.21
54,Django Unchained,2012,165,8.4,81        ,1327027,162.81
55,Casino Royale,2006,144,8.0,80        ,573344,167.45
56,Schindler's List,1993,195,8.9,94        ,1190453,96.9
57,Saving Private Ryan,1998,169,8.6,91        ,1211338,216.54
58,Mission: Impossible - Fallout,2018,147,7.7,86        ,283676,220.16
59,"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88        ,416314,54.51
60,Forrest Gump,1994,142,8.8,82        ,1767190,330.25
61,Psycho,1960,109,8.5,97        ,591459,32.0
62,Avengers: Infinity War,2018,149,8.4,68        ,805503,678.82
63,The Lord of the Rings: The Return of the King,2003,201,8.9,94        ,1612795,377.85
64,The Big Lebowski,1998,117,8.1,71        ,718618,17.5
65,The Irishman,2019,209,7.9,94        ,309146,7.0
66,300,2006,117,7.6,52        ,724707,210.61
67,The Social Network,2010,120,7.7,95        ,612606,96.96
68,The Departed,2006,151,8.5,85        ,1166500,132.38
69,Requiem for a Dream,2000,102,8.3,68        ,752867,3.64
70,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85        ,747994,381.01
71,The Prestige,2006,130,8.5,66        ,1164032,53.09
72,American Beauty,1999,122,8.3,84        ,1053839,130.1
73,American Psycho,2000,101,7.6,64        ,477737,15.07
74,Bohemian Rhapsody,2018,134,8.0,49        ,437329,216.43
75,The Girl with the Dragon Tattoo,2011,158,7.8,71        ,413993,102.52
76,Casino,1995,178,8.2,73        ,456285,42.44
77,No Country for Old Men,2007,122,8.1,91        ,837536,74.28
78,Dazed and Confused,1993,102,7.6,78        ,162452,7.99
79,Léon: The Professional,1994,110,8.5,64        ,1014197,19.5
80,Tombstone,1993,130,7.8,50        ,123888,56.51
81,Deadpool,2016,108,8.0,65        ,886711,363.07
82,The Green Mile,1999,189,8.6,61        ,1120758,136.8
83,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82        ,537351,249.36
84,Guardians of the Galaxy,2014,121,8.0,76        ,1028072,333.18
85,The Princess Bride,1987,98,8.1,77        ,387782,30.86
86,Prisoners,2013,153,8.1,70        ,585954,61.0
87,Call Me by Your Name,2017,132,7.9,93        ,202376,18.1
88,V for Vendetta,2005,132,8.2,62        ,1014826,70.51
89,Good Will Hunting,1997,126,8.3,70        ,843139,138.43
90,Blade Runner,1982,117,8.1,84        ,682005,32.87
91,Deadpool 2,2018,119,7.7,66        ,464922,324.59
92,Edward Scissorhands,1990,105,7.9,74        ,439430,56.36
93,Baby Driver,2017,113,7.6,86        ,426433,107.83
94,Whiplash,2014,106,8.5,88        ,696636,13.09
95,Boogie Nights,1997,155,7.9,85        ,235215,26.4
96,12 Years a Slave,2013,134,8.1,96        ,628348,56.67
97,Home Alone,1990,103,7.6,63        ,454077,285.76
98,Avatar,2009,162,7.8,83        ,1105047,760.51
99,Apocalypse Now,1979,147,8.4,94        ,594775,83.47
100,Room,2015,118,8.1,86        ,361069,14.68
101,The Breakfast Club,1985,97,7.8,66        ,351549,45.88
102,Terminator 2: Judgment Day,1991,137,8.5,75        ,980030,204.84
103,Memento,2000,113,8.4,80        ,1106218,25.54
104,The Fifth Element,1997,126,7.7,52        ,427676,63.54
105,Coco,2017,105,8.4,81        ,358226,209.73
106,Taxi Driver,1976,114,8.3,94        ,708473,28.26
107,Shutter Island,2010,138,8.2,63        ,1104020,128.01
108,Moana,2016,107,7.6,81        ,263740,248.76
109,Batman Begins,2005,140,8.2,70        ,1285995,206.85
110,The Fly,1986,96,7.6,79        ,156562,40.46
111,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,63        ,1004302,305.41
112,Mulan,1998,88,7.6,71        ,250518,120.62
113,Green Book,2018,130,8.2,69        ,348719,85.08
114,Stardust,2007,127,7.6,66        ,251427,38.63
115,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89        ,895419,34.4
116,Her,2013,126,8.0,90        ,527878,25.57
117,Kick-Ass,2010,117,7.6,66        ,519329,48.07
118,Aliens,1986,137,8.3,84        ,642795,85.16
119,Coraline,2009,100,7.7,80        ,192414,75.29
120,The Lord of the Rings: The Two Towers,2002,179,8.7,87        ,1457627,342.55
121,Dunkirk,2017,106,7.9,94        ,537849,188.37
122,A Clockwork Orange,1971,136,8.3,77        ,744498,6.21
123,Guardians of the Galaxy Vol. 2,2017,136,7.6,67        ,554860,389.81
124,The Help,2011,146,8.0,62        ,421543,169.71
125,The Usual Suspects,1995,106,8.5,77        ,974350,23.34
126,Snatch,2000,102,8.3,55        ,770184,30.33
127,Full Metal Jacket,1987,116,8.3,76        ,662361,46.36
128,Portrait of a Lady on Fire,2019,122,8.1,95        ,53275,3.76
129,Star Wars: Episode IV - A New Hope,1977,121,8.6,90        ,1209951,322.74
130,Stand by Me,1986,89,8.1,75        ,357712,52.29
131,The Revenant,2015,156,8.0,76        ,689315,183.64
132,Skyfall,2012,143,7.7,81        ,622686,304.36
133,Scarface,1983,170,8.3,65        ,725930,45.6
134,A Star Is Born,2018,136,7.7,88        ,322614,215.29
135,Catch Me If You Can,2002,141,8.1,75        ,807303,164.62
136,Ex Machina,2014,108,7.7,78        ,465389,25.44
137,The Godfather: Part II,1974,202,9.0,90        ,1105874,57.3
138,Lawrence of Arabia,1962,228,8.3,100        ,263227,44.82
139,Braveheart,1995,178,8.3,68        ,945693,75.6
140,The Searchers,1956,119,7.9,94        ,78948,
141,Donnie Darko,2001,113,8.0,88        ,730867,1.48
142,The Terminator,1984,107,8.0,84        ,788630,38.4
143,Back to the Future Part II,1989,108,7.8,57        ,471460,118.5
144,Superbad,2007,113,7.6,76        ,513516,121.46
145,Hidden Figures,2016,127,7.8,74        ,195069,169.61
146,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65        ,466495,295.98
147,The Sixth Sense,1999,107,8.1,64        ,898570,293.51
148,Sherlock Holmes,2009,128,7.6,57        ,576285,209.03
149,Heat,1995,170,8.2,76        ,565832,67.44
150,What We Do in the Shadows,2014,86,7.7,76        ,152482,3.33
151,The Avengers,2012,143,8.0,69        ,1245706,623.28
152,Willy Wonka & the Chocolate Factory,1971,100,7.8,67        ,175137,4.0
153,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82        ,1138177,290.48
154,Citizen Kane,1941,119,8.3,100        ,391842,1.59
155,Hunt for the Wilderpeople,2016,101,7.9,81        ,106101,5.2
156,Mulholland Drive,2001,147,8.0,85        ,315137,7.22
157,The Grand Budapest Hotel,2014,99,8.1,88        ,691841,59.1
158,Harry Potter and the Half-Blood Prince,2009,153,7.6,78        ,461594,301.96
159,Ferris Bueller's Day Off,1986,103,7.8,61        ,315613,70.14
160,Sicario,2015,121,7.6,82        ,363441,46.89
161,Jaws,1975,124,8.0,87        ,537649,260.0
162,Iron Man,2008,126,7.9,79        ,924906,318.41
163,The Lion King,1994,88,8.5,88        ,922905,422.78
164,The Hobbit: An Unexpected Journey,2012,169,7.8,58        ,748237,303.0
165,American History X,1998,119,8.5,62        ,1019088,6.72
166,Spirited Away,2001,125,8.6,96        ,632602,10.06
167,The Notebook,2004,123,7.8,53        ,511040,81.0
168,Pan's Labyrinth,2006,118,8.2,98        ,609780,37.63
169,Airplane!,1980,88,7.7,78        ,210235,83.4
170,Arrival,2016,116,7.9,81        ,580222,100.55
171,Marriage Story,2019,137,8.0,94        ,232054,2.0
172,Kingsman: The Secret Service,2014,129,7.7,60        ,582228,128.26
173,There Will Be Blood,2007,158,8.2,93        ,506426,40.22
174,Love Actually,2003,135,7.6,55        ,417104,59.7
175,Black Swan,2010,108,8.0,79        ,688968,106.95
176,Gran Torino,2008,116,8.1,72        ,710455,148.1
177,2001: A Space Odyssey,1968,149,8.3,84        ,591754,56.95
178,The Martian,2015,144,8.0,80        ,745216,228.43
179,E.T. the Extra-Terrestrial,1982,115,7.8,91        ,364877,435.11
180,Star Trek,2009,127,7.9,82        ,572984,257.73
181,The Deer Hunter,1978,183,8.1,86        ,306088,48.98
182,12 Angry Men,1957,96,8.9,96        ,673682,4.36
183,Rogue One: A Star Wars Story,2016,133,7.8,65        ,541845,532.18
184,Toy Story 4,2019,100,7.8,84        ,192451,434.04
185,Captain America: Civil War,2016,147,7.8,75        ,648855,408.08
186,The Big Short,2015,130,7.8,81        ,351793,70.26
187,"O Brother, Where Art Thou?",2000,107,7.7,69        ,280853,45.51
188,The Wizard of Oz,1939,102,8.0,100        ,367382,2.08
189,Moneyball,2011,133,7.6,87        ,357405,75.61
190,Sin City,2005,124,8.0,74        ,734490,74.1
191,The Truman Show,1998,103,8.1,90        ,917410,125.62
192,Man on Fire,2004,146,7.7,47        ,325062,77.91
193,A Beautiful Mind,2001,135,8.2,72        ,832526,170.74
194,La La Land,2016,128,8.0,94        ,491791,151.1
195,Nightcrawler,2014,117,7.9,76        ,453223,32.38
196,Logan,2017,137,8.1,77        ,632225,226.28
197,Unforgiven,1992,130,8.2,85        ,369515,101.16
198,Almost Famous,2000,122,7.9,90        ,248848,32.53
199,The Hateful Eight,2015,168,7.8,68        ,502801,54.12
200,Wonder,2017,113,8.0,66        ,136049,132.42
201,A Hard Day's Night,1964,87,7.6,96        ,39657,13.78
202,Atonement,2007,123,7.8,85        ,245944,50.93
203,Kill Bill: Vol. 1,2003,111,8.1,69        ,982883,70.1
204,Saw,2004,103,7.6,46        ,373760,56.0
205,Kill Bill: Vol. 2,2004,137,8.0,83        ,672110,66.21
206,Edge of Tomorrow,2014,113,7.9,71        ,589252,100.21
207,The Curious Case of Benjamin Button,2008,166,7.8,70        ,578658,127.51
208,Captain Fantastic,2016,118,7.9,72        ,183855,5.88
209,Oldboy,2003,101,8.4,77        ,504469,0.71
210,Die Hard,1988,132,8.2,72        ,771422,83.01
211,Enemy at the Gates,2001,131,7.6,53        ,239545,51.4
212,The Hangover,2009,100,7.7,73        ,708591,277.32
213,Reservoir Dogs,1992,99,8.3,79        ,901769,2.83
214,Remember the Titans,2000,113,7.8,48        ,195247,115.65
215,Dead Poets Society,1989,128,8.1,79        ,414243,95.86
216,Lost in Translation,2003,102,7.7,89        ,406237,44.59
217,The Perks of Being a Wallflower,2012,103,8.0,67        ,454150,17.74
218,The Blind Side,2009,129,7.6,53        ,287565,255.96
219,Drive,2011,100,7.8,78        ,561473,35.06
220,28 Days Later...,2002,113,7.6,73        ,371144,45.06
221,The Handmaiden,2016,145,8.1,84        ,106702,2.01
222,True Romance,1993,119,7.9,59        ,203617,12.28
223,The Theory of Everything,2014,123,7.7,72        ,394631,35.89
224,Inside Out,2015,95,8.1,94        ,597275,356.46
225,"The Good, the Bad and the Ugly",1966,178,8.8,90        ,676499,6.1
226,About Time,2013,123,7.8,55        ,291785,15.32
227,Black Hawk Down,2001,144,7.7,74        ,359531,108.64
228,Hot Fuzz,2007,121,7.8,81        ,456472,23.64
229,Manchester by the Sea,2016,137,7.8,96        ,240352,47.7
230,Raiders of the Lost Ark,1981,115,8.4,85        ,869797,248.16
231,Wind River,2017,107,7.7,73        ,197065,33.8
232,Life Is Beautiful,1997,116,8.6,59        ,609909,57.6
233,Akira,1988,124,8.0,-,161065,0.55
234,Young Frankenstein,1974,106,8.0,80        ,141191,86.3
235,Children of Men,2006,109,7.9,84        ,458708,35.55
236,The Invisible Guest,2016,106,8.1,-,130372,
237,Rosemary's Baby,1968,137,8.0,96        ,189270,
238,Shaun of the Dead,2004,99,7.9,76        ,504640,13.54
239,The Pianist,2002,150,8.5,85        ,712912,32.57
240,Ocean's Eleven,2001,116,7.7,74        ,506817,183.42
241,Apocalypto,2006,139,7.8,68        ,287351,50.87
242,Zootopia,2016,108,8.0,78        ,424059,341.27
243,Night of the Living Dead,1968,96,7.9,89        ,114142,0.09
244,Once Upon a Time in America,1984,229,8.4,-,304604,5.32
245,Your Name.,2016,106,8.4,79        ,182549,5.02
246,Big Fish,2003,125,8.0,58        ,410140,66.26
